zip,street,units,type,url_addr
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/37-modena-irvine-ca-92618--2081045488
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/38-modena-irvine-ca-92618--2081045562
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/39-modena-irvine-ca-92618--2081045623
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/41-modena-irvine-ca-92618--2081045928
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/42-modena-irvine-ca-92618--2081046100
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/43-modena-irvine-ca-92618--2081046232
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/45-modena-irvine-ca-92618--2206353827
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/46-modena-irvine-ca-92618--2081046403
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/47-modena-irvine-ca-92618--2081046452
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/48-modena-irvine-ca-92618--2081046498
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/49-modena-irvine-ca-92618--2081046535
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/50-modena-irvine-ca-92618--2081046676
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/51-modena-irvine-ca-92618--2081046844
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/52-modena-irvine-ca-92618--2081046953
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/53-modena-irvine-ca-92618--2081047057
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/54-modena-irvine-ca-92618--2081047129
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/55-modena-irvine-ca-92618--2081047209
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/56-modena-irvine-ca-92618--2081047277
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/57-modena-irvine-ca-92618--2081047338
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/58-modena-irvine-ca-92618--2081047391
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/59-modena-irvine-ca-92618--2081047436
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/60-modena-irvine-ca-92618--2081047607
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/61-modena-irvine-ca-92618--2081047703
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/62-modena-irvine-ca-92618--2081047816
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/63-modena-irvine-ca-92618--2081047932
92618,Modena,36,Single Family,https://www.trulia.com/p/ca/irvine/65-modena-irvine-ca-92618--2081048105
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/51-cunningham-irvine-ca-92618--2081046831
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/53-cunningham-irvine-ca-92618--2081047040
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/54-cunningham-irvine-ca-92618--2081047112
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/55-cunningham-irvine-ca-92618--2081047191
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/56-cunningham-irvine-ca-92618--2081047259
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/57-cunningham-irvine-ca-92618--2081047326
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/58-cunningham-irvine-ca-92618--2081047375
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/59-cunningham-irvine-ca-92618--2081047422
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/60-cunningham-irvine-ca-92618--2081047585
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/62-cunningham-irvine-ca-92618--2081047795
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/63-cunningham-irvine-ca-92618--2081047915
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/64-cunningham-irvine-ca-92618--2081048006
