zip,street,units,type,url_addr
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/98-copper-mine-irvine-ca-92602--2124946902
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/99-copper-mine-irvine-ca-92602--2124962609
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/100-copper-mine-irvine-ca-92602--2199721068
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/101-copper-mine-irvine-ca-92602--2120331915
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/102-copper-mine-irvine-ca-92602--1151029471
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/103-copper-mine-irvine-ca-92602--2120379738
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/104-copper-mine-irvine-ca-92602--2120399559
92602,Copper Mine,44,Single Family,https://www.trulia.com/p/ca/irvine/106-copper-mine-irvine-ca-92602--1151189902
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/51-legacy-way-irvine-ca-92602--1041855727
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/53-legacy-way-irvine-ca-92602--1013863986
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/55-legacy-way-irvine-ca-92602--2080991642
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/57-legacy-way-irvine-ca-92602--1058748059
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/58-legacy-way-irvine-ca-92602--2080991739
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/59-legacy-way-irvine-ca-92602--2080991771
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/60-legacy-way-irvine-ca-92602--2080991934
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/61-legacy-way-irvine-ca-92602--2080991976
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/62-legacy-way-irvine-ca-92602--2080992007
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/63-legacy-way-irvine-ca-92602--2080992035
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/64-legacy-way-irvine-ca-92602--2080992063
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/65-legacy-way-irvine-ca-92602--2080992091
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/67-legacy-way-irvine-ca-92602--2080992143
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/71-legacy-way-irvine-ca-92602--2080992377
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/73-legacy-way-irvine-ca-92602--2080992430
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/75-legacy-way-irvine-ca-92602--2080992486
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/77-legacy-way-irvine-ca-92602--2080992528
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/79-legacy-way-irvine-ca-92602--1002017452
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/81-legacy-way-irvine-ca-92602--1059618592
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/83-legacy-way-irvine-ca-92602--2080992789
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/84-legacy-way-irvine-ca-92602--2080992815
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/85-legacy-way-irvine-ca-92602--2080992829
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/86-legacy-way-irvine-ca-92602--2080992845
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/87-legacy-way-irvine-ca-92602--2080992859
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/88-legacy-way-irvine-ca-92602--2080992875
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/89-legacy-way-irvine-ca-92602--2080992887
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/90-legacy-way-irvine-ca-92602--1059888034
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/91-legacy-way-irvine-ca-92602--1001977412
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/92-legacy-way-irvine-ca-92602--2080993078
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/93-legacy-way-irvine-ca-92602--2080993089
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/94-legacy-way-irvine-ca-92602--2080993109
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/95-legacy-way-irvine-ca-92602--2080993121
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/96-legacy-way-irvine-ca-92602--2080993139
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/97-legacy-way-irvine-ca-92602--2080993152
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/98-legacy-way-irvine-ca-92602--2080993165
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/99-legacy-way-irvine-ca-92602--2080993173
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/100-legacy-way-irvine-ca-92602--2080987037
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/101-legacy-way-irvine-ca-92602--2080987208
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/102-legacy-way-irvine-ca-92602--1054229764
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/103-legacy-way-irvine-ca-92602--2080987229
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/104-legacy-way-irvine-ca-92602--2080987243
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/106-legacy-way-irvine-ca-92602--2080987269
92602,Legacy Way,43,Single Family,https://www.trulia.com/p/ca/irvine/108-legacy-way-irvine-ca-92602--2080987293
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/2-granada-irvine-ca-92602--1056106693
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/3-granada-irvine-ca-92602--2080990767
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/5-granada-irvine-ca-92602--2080991831
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/6-granada-irvine-ca-92602--2080992240
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/7-granada-irvine-ca-92602--2080992626
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/8-granada-irvine-ca-92602--2080992954
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/9-granada-irvine-ca-92602--2080993216
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/10-granada-irvine-ca-92602--1002031725
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/11-granada-irvine-ca-92602--2080987655
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/12-granada-irvine-ca-92602--2080987869
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/14-granada-irvine-ca-92602--2080988132
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/15-granada-irvine-ca-92602--2080988313
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/16-granada-irvine-ca-92602--1055525803
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/17-granada-irvine-ca-92602--2080988600
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/18-granada-irvine-ca-92602--2080988712
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/19-granada-irvine-ca-92602--2080988819
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/20-granada-irvine-ca-92602--1056111812
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/21-granada-irvine-ca-92602--2080989117
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/22-granada-irvine-ca-92602--2080989210
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/23-granada-irvine-ca-92602--2080989323
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/24-granada-irvine-ca-92602--1056617557
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/25-granada-irvine-ca-92602--2080989511
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/26-granada-irvine-ca-92602--2080989596
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/27-granada-irvine-ca-92602--2080989679
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/28-granada-irvine-ca-92602--2080989740
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/29-granada-irvine-ca-92602--2080989804
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/30-granada-irvine-ca-92602--2080990015
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/31-granada-irvine-ca-92602--2080990101
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/32-granada-irvine-ca-92602--1001919833
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/33-granada-irvine-ca-92602--2080990247
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/34-granada-irvine-ca-92602--2080990312
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/35-granada-irvine-ca-92602--2080990382
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/36-granada-irvine-ca-92602--2080990438
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/41-granada-irvine-ca-92602--2080990937
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/43-granada-irvine-ca-92602--2080991051
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/45-granada-irvine-ca-92602--2080991143
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/47-granada-irvine-ca-92602--2080991237
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/49-granada-irvine-ca-92602--2080991323
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/51-granada-irvine-ca-92602--2080991488
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/53-granada-irvine-ca-92602--2080991565
92602,Granada,41,Single Family,https://www.trulia.com/p/ca/irvine/55-granada-irvine-ca-92602--2080991640
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/14-copper-leaf-irvine-ca-92602--2080988115
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/16-copper-leaf-irvine-ca-92602--2080988444
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/18-copper-leaf-irvine-ca-92602--2080988698
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/20-copper-leaf-irvine-ca-92602--2080988998
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/22-copper-leaf-irvine-ca-92602--2080989200
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/24-copper-leaf-irvine-ca-92602--2080989408
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/26-copper-leaf-irvine-ca-92602--1009901965
92602,Copper Leaf,39,Single Family,https://www.trulia.com/p/ca/irvine/28-copper-leaf-irvine-ca-92602--2080989736
